##,2004,2008,2013,2018,state,constituency_s,malay_voter_ratio,non_malay_voter_ratio
P001,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perlis,Padang Besar,86,13
P002,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,Perlis,Kangar,81,18
P003,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perlis,Arau,88,11
P004,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Kedah,Langkawi,91,8
P005,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Kedah,Jerlun,91,10
P006,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Kedah,Kubang Pasu,86,13
P007,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,Kedah,Padang Terap,92,7
P008,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Kedah,Pokok Sena,80,20
P009,BN-MCA,BN-MCA,PR-PKR,PH-PKR,Kedah,Alor Setar (previously known as Alor Star)[3],61,39
P010,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Kedah,Kuala Kedah,78,22
P011,BA-PAS,PR-PAS,BN-UMNO,GS-PAS,Kedah,Pendang,88,12
P012,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,Kedah,Jerai,79,21
P013,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,Kedah,Sik,93,7
P014,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,Kedah,Merbok,65,35
P015,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Kedah,Sungai Petani,59,41
P016,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,Kedah,Baling,89,10
P017,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Kedah,Padang Serai,56,44
P018,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,Kedah,Kulim-Bandar Baharu,68,32
P019,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Tumpat,93,7
P020,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Pengkalan Chepa,98,2
P021,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Kelantan,Kota Bharu,83,17
P022,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Pasir Mas,97,3
P023,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Rantau Panjang,98,2
P024,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Kubang Kerian,98,2
P025,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Kelantan,Bachok,99,1
P026,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Kelantan,Ketereh,97,3
P027,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Kelantan,Tanah Merah,95,5
P028,BA-PAS,PR-PAS,PR-PAS,GS-PAS,Kelantan,Pasir Putih,98,2
P029,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Kelantan,Machang,96,4
P030,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Kelantan,Jeli,99,1
P031,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Kelantan,Kuala Krai,94,5
P032,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Kelantan,Gua Musang,80,19
P033,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Terengganu,Besut,98,2
P034,BN-UMNO,BN-UMNO,BN-UMNO,GS-PAS,Terengganu,Setiu,100,0
P035,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,Terengganu,Kuala Nerus,99,1
P036,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,Terengganu,Kuala Terengganu,89,11
P037,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,Terengganu,Marang,98,2
P038,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Terengganu,Hulu Terengganu,99,1
P039,BN-UMNO,BN-UMNO,PR-PAS,GS-PAS,Terengganu,Dungun,96,4
P040,BN-UMNO,BN-UMNO,BN-UMNO,GS-PAS,Terengganu,Kemaman,93,7
P041,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pulau Pinang,Kepala Batas,76,23
P042,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Pulau Pinang,Tasek Gelugor,78,22
P043,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bagan,15,85
P044,BA-PKR,PR-PKR,PR-PKR,PH-PKR,Pulau Pinang,Permatang Pauh,70,29
P045,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bukit Mertajam,19,81
P046,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Batu Kawan,21,79
P047,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,Pulau Pinang,Nibong Tebal,45,55
P048,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bukit Bendera,14,85
P049,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Tanjong,5,95
P050,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Jelutong,22,78
P051,DAP,PR-DAP,PR-DAP,PH-DAP,Pulau Pinang,Bukit Gelugor,14,85
P052,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Pulau Pinang,Bayan Baru,39,60
P053,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,Pulau Pinang,Balik Pulau,64,36
P054,BN-UMNO,BN-Gerakan,BN-UMNO,BN-UMNO,Perak,Gerik,68,29
P055,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Lenggong,82,16
P056,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Larut,89,11
P057,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,Perak,Parit Buntar,68,32
P058,BN-UMNO,PR-PKR,BN-UMNO,BN-UMNO,Perak,Bagan Serai,76,24
P059,BN-Gerakan,PR-PAS,PR-PAS,BN-UMNO,Perak,Bukit Gantang,65,35
P060,BN-PPP,PR-DAP,PR-DAP,PH-DAP,Perak,Taiping,37,61
P061,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Padang Rengas,76,24
P062,BN-MIC,PR-PKR,PR-PKR,PH-PKR,Perak,Sungai Siput,33,60
P063,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,Perak,Tambun,64,34
P064,DAP,PR-DAP,PR-DAP,PH-DAP,Perak,Ipoh Timor,14,85
P065,DAP,PR-DAP,PR-DAP,PH-DAP,Perak,Ipoh Barat,14,85
P066,DAP,PR-DAP,PR-DAP,PH-DAP,Perak,Batu Gajah,11,89
P067,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Kuala Kangsar,68,31
P068,BN-Gerakan,PR-DAP,PR-DAP,PH-DAP,Perak,Beruas,33,67
P069,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Parit,93,6
P070,BN-MCA,BN-MCA,PR-DAP,PH-DAP,Perak,Kampar,29,70
P071,BN-MCA,PR-PKR,PR-PKR,PH-PKR,Perak,Gopeng,43,55
P072,BN-MIC,BN-MIC,BN-MIC,BN-MIC,Perak,Tapah,46,41
P073,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,Perak,Pasir Salak,79,18
P074,BN-MCA,BN-MCA,PR-PKR,PH-PAN,Perak,Lumut,51,47
