##,state,constituency,2004,2008,2013,2018,GE14_malay_ratio,GE14_chinese_ratio,GE14_indian_ratio,GE14_others_ratio,GE14_registered_voters,GE14_majority,GE14_malay_voters,GE14_chinese_voters,GE14_indian_voters,GE14_others_voters,GE14_majority_pct,GE15_malay_ratio,GE15_chinese_ratio,GE15_indian_ratio,GE15_others_ratio,GE15_registered_voters,GE15_malay_voters,GE15_chinese_voters,GE15_indian_voters,GE15_others_voters,registered_voters_increase,registered_voters_increase_pct,malay_voters_increase,malay_ratio_increase_pct,chinese_voters_increase,chinese_ratio_increase_pct,indian_voters_increase,indian_ratio_increase_pct,others_voters_increase,others_ratio_increase_pct
P001,Perlis,Padang Besar,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,86,9,0,5,46096,1438,39642.56,4148.64,0.0,2304.8,3.119576535925026,89.80184124,5.640269287,1.648547708,2.90934177,60192,54053,3394,992,1751,14096,30.579659840333218,14410.440000000002,3.8018412400000017,-754.6400000000003,-3.3597307130000003,992.0,1.648547708,-553.8000000000002,-2.09065823
P002,Perlis,Kangar,BN-UMNO,BN-UMNO,BN-UMNO,PH-PKR,81,16,2,1,55938,5603,45309.78,8950.08,1118.76,559.38,10.016446780363975,87.33029377,9.576661014,1.518090151,1.574955067,74859,65374,7168,1136,1178,18921,33.824949050734745,20064.22,6.330293769999997,-1782.08,-6.423338985999999,17.24000000000001,-0.481909849,618.62,0.5749550670000001
P003,Perlis,Arau,BN-UMNO,BN-UMNO,BN-UMNO,BN-UMNO,88,8,0,4,48187,4856,42404.56,3854.96,0.0,1927.48,10.077406769460643,89.41732185,6.576505182,2.338845905,1.667327063,60876,54433,4003,1423,1015,12689,26.33282835619566,12028.440000000002,1.4173218499999933,148.03999999999996,-1.423494818,1423.0,2.338845905,-912.48,-2.332672937
P004,Kedah,Langkawi,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,91,6,2,1,42697,8893,38854.27,2561.82,853.94,426.97,20.82816122912617,91.86024551,5.122479587,1.934122091,1.083152808,66777,61341,3420,1291,723,24080,56.397404969904215,22486.730000000003,0.8602455099999986,858.1799999999998,-0.877520413,437.05999999999995,-0.0658779089999999,296.03,0.08315280799999991
P005,Kedah,Jerlun,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,91,8,0,2,54132,5866,49260.12,4330.56,0.0,1082.64,10.836473804773517,93.45941566,4.178451848,0.085617747,2.276514746,67601,63179,2824,57,1538,13469,24.881770486957812,13918.879999999997,2.4594156600000048,-1506.5600000000004,-3.821548152,57.0,0.085617747,455.3599999999999,0.27651474600000014
P006,Kedah,Kubang Pasu,BN-UMNO,BN-UMNO,BN-UMNO,PH-PPBM,86,9,4,1,73881,13009,63537.66,6649.29,2955.24,738.81,17.608045370257578,88.56110011,7.38735793,2.939805143,1.111736816,108217,95838,7994,3181,1203,34336,46.474736400427716,32300.339999999997,2.561100109999998,1344.71,-1.6126420699999997,225.76000000000022,-1.060194857,464.19000000000005,0.11173681600000007
P007,Kedah,Padang Terap,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,92,1,0,7,46644,1099,42912.48,466.44,0.0,3265.08,2.3561444130006004,91.66453919,0.793017616,0.044677049,7.497766148,59806,54820,474,26,4484,13162,28.217991595918022,11907.519999999997,-0.3354608100000007,7.560000000000002,-0.20698238400000002,26.0,0.044677049,1218.92,0.4977661480000002
P008,Kedah,Pokok Sena,BN-UMNO,PR-PAS,PR-PAS,PH-PAN,80,18,2,0,86892,5558,69513.6,15640.56,1737.84,0.0,6.396446163052985,85.15264438,12.1827055,2.150898092,0.513752027,114838,97787,13990,2470,589,27946,32.161764028909445,28273.399999999994,5.152644379999998,-1650.5599999999995,-5.817294499999999,732.1600000000001,0.15089809199999982,589.0,0.513752027
P009,Kedah,Alor Setar (previously known as Alor Star)[3],BN-MCA,BN-MCA,PR-PKR,PH-PKR,61,34,5,0,80272,15200,48965.92,27292.48,4013.6,0.0,18.935618895754438,68.52072479,28.1345022,3.000693494,0.344079521,105994,72627,29820,3180,364,25722,32.04355192346024,23661.08,7.520724790000003,2527.5200000000004,-5.8654978,-833.5999999999999,-1.999306506,364.0,0.344079521
P010,Kedah,Kuala Kedah,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,78,21,1,0,97753,13481,76247.34,20528.13,977.53,0.0,13.790881098278312,75.58628338,22.93257965,1.150206608,0.330930362,132500,100151,30385,1524,438,34747,35.54571215205671,23903.660000000003,-2.4137166200000024,9856.869999999999,1.932579650000001,546.47,0.15020660799999996,438.0,0.330930362
P011,Kedah,Pendang,BA-PAS,PR-PAS,BN-UMNO,GS-PAS,88,6,0,6,74867,5808,65882.96,4492.02,0.0,4492.02,7.757757089238249,90.80974028,2.906075874,0.423802732,5.860381115,94547,85857,2747,400,5540,19680,26.286614930476702,19974.039999999994,2.8097402799999998,-1745.0200000000004,-3.093924126,400.0,0.423802732,1047.9799999999996,-0.13961888499999997
P012,Kedah,Jerai,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,79,15,6,0,79976,539,63181.04,11996.4,4798.56,0.0,0.6739521856556967,87.48194511,7.473920719,4.795377949,0.248756219,105001,91856,7847,5035,261,25025,31.290637191157344,28674.96,8.481945109999998,-4149.4,-7.526079281,236.4399999999996,-1.2046220510000003,261.0,0.248756219
P013,Kedah,Sik,BN-UMNO,PR-PAS,BN-UMNO,GS-PAS,93,2,0,5,50385,5218,46858.05,1007.7,0.0,2519.25,10.356256822467005,94.07706982,0.782907287,0.086989699,5.053033193,63126,59387,494,54,3189,12741,25.287287883298593,12528.949999999997,1.0770698200000055,-513.7,-1.217092713,54.0,0.086989699,669.75,0.05303319300000009
P014,Kedah,Merbok,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,65,17,18,0,87782,10072,57058.3,14922.94,15800.76,0.0,11.473878471668451,74.0518163,13.49254781,12.09340018,0.362235707,132444,98077,17870,16016,479,44662,50.87831218245198,41018.7,9.051816299999999,2947.0599999999995,-3.5074521900000004,215.23999999999978,-5.90659982,479.0,0.362235707
P015,Kedah,Sungai Petani,BN-UMNO,PR-PKR,PR-PKR,PH-PKR,59,29,12,0,112577,21569,66420.43,32647.33,13509.24,0.0,19.159330946818624,69.18329073,19.31029571,11.03716775,0.469245804,168847,116813,32604,18635,792,56270,49.98356680316582,50392.57000000001,10.183290729999996,-43.330000000001746,-9.689704290000002,5125.76,-0.96283225,792.0,0.469245804
P016,Kedah,Baling,BN-UMNO,PR-PAS,BN-UMNO,BN-UMNO,89,5,5,1,107213,1074,95419.57,5360.65,5360.65,1072.13,1.0017441914693181,92.12868878,3.018290065,3.232246615,1.620774537,132099,121701,3987,4269,2141,24886,23.211737382593522,26281.429999999993,3.1286887800000045,-1373.6499999999996,-1.981709935,-1091.6499999999996,-1.7677533849999998,1068.87,0.620774537
P017,Kedah,Padang Serai,BN-MCA,PR-PKR,PR-PKR,PH-PKR,56,23,21,0,84834,8813,47507.04,19511.82,17815.14,0.0,10.3885234693637,70.11459185,14.16065639,15.2044714,0.520280357,133867,93860,18956,20353,696,49033,57.79875993115968,46352.96,14.114591849999996,-555.8199999999997,-8.83934361,2537.8600000000006,-5.795528600000001,696.0,0.520280357
P018,Kedah,Kulim-Bandar Baharu,BN-UMNO,PR-PKR,BN-UMNO,PH-PKR,68,19,13,0,66587,4860,45279.16,12651.53,8656.31,0.0,7.298721972757445,73.82509124,14.4396589,11.50606265,0.229187207,90141,66546,13016,10371,206,23554,35.373271058915414,21266.839999999997,5.825091240000006,364.46999999999935,-4.5603411000000005,1714.6900000000005,-1.4939373499999995,206.0,0.229187207
P019,Kelantan,Tumpat,BA-PAS,PR-PAS,PR-PAS,GS-PAS,93,3,0,4,110924,17500,103159.32,3327.72,0.0,4436.96,15.776567740074285,92.46455242,4.124300432,0.098597783,3.312549369,149371,138115,6160,147,4947,38447,34.66066856586492,34955.67999999999,-0.535447579999996,2832.28,1.124300432,147.0,0.098597783,510.03999999999996,-0.6874506309999999
P020,Kelantan,Pengkalan Chepa,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,2,0,0,75384,13232,73876.32,1507.68,0.0,0.0,17.552796349357955,97.28848937,2.10454202,0.32141165,0.285556964,106982,104081,2251,343,305,31598,41.916056457603744,30204.679999999993,-0.7115106300000065,743.3199999999999,0.10454201999999979,343.0,0.32141165,305.0,0.285556964
P021,Kelantan,Kota Bharu,BN-UMNO,PR-PAS,PR-PAS,GS-PAS,83,16,1,0,88708,5869,73627.64,14193.28,887.08,0.0,6.616088740587095,92.72397255,6.605537605,0.291823466,0.378666375,115450,107049,7626,336,437,26742,30.146097308021822,33421.36,9.72397255,-6567.280000000001,-9.394462395,-551.08,-0.708176534,437.0,0.378666375
P022,Kelantan,Pasir Mas,BA-PAS,PR-PAS,PR-PAS,GS-PAS,97,3,0,0,71222,13075,69085.34,2136.66,0.0,0.0,18.35809160090983,98.50893221,1.287941954,0.007096099,0.196029733,94544,93134,1217,6,185,23322,32.74549998595939,24048.660000000003,1.5089322099999976,-919.6599999999999,-1.712058046,6.0,0.007096099,185.0,0.196029733
P023,Kelantan,Rantau Panjang,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,1,0,1,66115,6150,64792.7,661.15,0.0,661.15,9.301973833471981,97.82389719,1.642063216,0.018235498,0.515804099,93248,91218,1531,17,480,27133,41.03909854042198,26425.300000000003,-0.17610281000000327,869.85,0.6420632159999999,17.0,0.018235498,-181.14999999999998,-0.484195901
P024,Kelantan,Kubang Kerian,BA-PAS,PR-PAS,PR-PAS,GS-PAS,98,2,0,0,82018,19369,80377.64,1640.36,0.0,0.0,23.615547806579045,97.49864765,2.025587049,0.282200512,0.193564786,113640,110797,2301,320,219,31622,38.55495135214222,30419.36,-0.5013523500000048,660.6400000000001,0.025587048999999862,320.0,0.282200512,219.0,0.193564786
